Day,Holiday,Type,year,month,day
Saturday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday,2019,11,2
Sunday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday,2019,11,10
Tuesday,Guru Nanak Jayanti,Gazetted Holiday,2019,11,12
Sunday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday,2019,11,24
Sunday,December Solstice,Season,2019,12,22
Monday,First Day of Hanukkah,Observance,2019,12,23
Tuesday,Christmas Eve,Restricted Holiday,2019,12,24
Wednesday,Christmas,Gazetted Holiday,2019,12,25
Monday,Last day of Hanukkah,Observance,2019,12,30
Tuesday,New Year's Eve,Observance,2019,12,31
